"nama_prodi","asal_kab_kota","asal_provinsi","periode_tahun","periode_bulan","periode_tanggal","jumlah_pendaftar"
Kedokteran Umum,Gianyar,Bali,2020,6,1,2
Kedokteran Umum,Praya,Nusa Tenggara Barat,2020,6,1,2
Kedokteran Umum,Tobelo,Maluku Utara,2020,6,1,2
Kedokteran Umum,Kupang,Nusa Tenggara Timur,2020,6,1,2
Kedokteran Umum,Bantul,DI Yogyakarta,2020,6,1,2
Kedokteran Umum,Muara Bulian,Jambi,2020,6,1,2
Kedokteran Umum,Maumere,Nusa Tenggara Timur,2020,6,1,2
Kedokteran Umum,Bitung,Sulawesi Utara,2020,6,1,2
Kedokteran Umum,Masohi,Maluku,2020,6,1,2
Kedokteran Umum,Polewali,Sulawesi Barat,2020,6,1,2
Kedokteran Umum,Sorong,Papua Barat,2020,6,1,2
Kedokteran Umum,Sungailiat,Kepulauan Bangka Belitung,2020,6,1,2
Kedokteran Umum,Tual,Maluku,2020,6,1,2
Kedokteran Umum,Ende,Nusa Tenggara Timur,2020,6,1,2
Kedokteran Umum,Poso,Sulawesi Tengah,2020,6,1,2
Kedokteran Umum,Pangkalan Bun,Kalimantan Tengah,2020,6,1,2
Kimia,Polewali,Sulawesi Barat,2020,6,1,2
Kimia,Jakarta Utara,DKI Jakarta,2020,6,1,2
Kimia,Sangatta,Kalimantan Timur,2020,6,1,2
Kimia,Kayu Agung,Sumatera Selatan,2020,6,1,2
Kimia,Kotamobagu,Sulawesi Utara,2020,6,1,2
Kimia,Solo,Jawa Tengah,2020,6,1,2
Kimia,Rantau,Kalimantan Selatan,2020,6,1,2
Kimia,Solok,Sumatera Barat,2020,6,1,2
Kimia,Timika,Papua,2020,6,1,2
Kimia,Masohi,Maluku,2020,6,1,2
Kimia,Tarakan,Kalimantan Utara,2020,6,1,2
Kimia,Baubau,Sulawesi Tenggara,2020,6,1,2
Kimia,Limboto,Gorontalo,2020,6,1,2
Kimia,Saumlaki,Maluku,2020,6,1,2
Kimia,Cimahi,Jawa Barat,2020,6,1,2
Manajemen,Bangkinang,Riau,2020,6,1,2
Manajemen,Masohi,Maluku,2020,6,1,2
Manajemen,Tomohon,Sulawesi Utara,2020,6,1,2
Manajemen,Liwa,Lampung,2020,6,1,2
Manajemen,Padang Panjang,Sumatera Barat,2020,6,1,2
Manajemen,Bitung,Sulawesi Utara,2020,6,1,2
Manajemen,Malang,Jawa Timur,2020,6,1,2
Manajemen,Bintan,Kepulauan Riau,2020,6,1,2
Manajemen,Marisa,Gorontalo,2020,6,1,2
Manajemen,Praya,Nusa Tenggara Barat,2020,6,1,2
Manajemen,Fakfak,Papua Barat,2020,6,1,2
Manajemen,Balikpapan,Kalimantan Timur,2020,6,1,2
Manajemen,Subulussalam,Aceh,2020,6,1,2
Manajemen,Sibolga,Sumatera Utara,2020,6,1,2
Manajemen,Merauke,Papua,2020,6,1,2
Manajemen,Cimahi,Jawa Barat,2020,6,1,2
Manajemen,Sumbawa,Nusa Tenggara Barat,2020,6,1,2
Manajemen,Magelang,Jawa Tengah,2020,6,1,2
Manajemen,Parepare,Sulawesi Selatan,2020,6,1,2
Manajemen,Tangerang,Banten,2020,6,1,2
Manajemen,Pandeglang,Banten,2020,6,1,2
Manajemen,Rantau,Kalimantan Selatan,2020,6,1,2
Manajemen,Maumere,Nusa Tenggara Timur,2020,6,1,2
Manajemen,Atambua,Nusa Tenggara Timur,2020,6,1,2
Teknik Elektro,Atambua,Nusa Tenggara Timur,2020,6,1,2
Teknik Elektro,Muara Tebo,Jambi,2020,6,1,2
Teknik Elektro,Maros,Sulawesi Selatan,2020,6,1,2
Teknik Elektro,Ruteng,Nusa Tenggara Timur,2020,6,1,2
Teknik Elektro,Sibolga,Sumatera Utara,2020,6,1,2
Teknik Elektro,Praya,Nusa Tenggara Barat,2020,6,1,2
Teknik Elektro,Madiun,Jawa Timur,2020,6,1,2
Teknik Elektro,Rantau,Kalimantan Selatan,2020,6,1,2
Teknik Elektro,Raja Ampat,Papua Barat,2020,6,1,2
Teknik Elektro,Kotamobagu,Sulawesi Utara,2020,6,1,2
Teknik Elektro,Subulussalam,Aceh,2020,6,1,2
Teknik Elektro,Wonosari,DI Yogyakarta,2020,6,1,2
Teknik Elektro,Bintan,Kepulauan Riau,2020,6,1,2
Teknik Elektro,Lhokseumawe,Aceh,2020,6,1,2
Teknik Elektro,Ternate,Maluku Utara,2020,6,1,2
Teknik Elektro,Pangkalan Bun,Kalimantan Tengah,2020,6,1,2
Teknik Elektro,Dompu,Nusa Tenggara Barat,2020,6,1,2
Teknik Elektro,Timika,Papua,2020,6,1,2
Teknik Elektro,Padang Sidempuan,Sumatera Utara,2020,6,1,2
Teknik Elektro,Tarakan,Kalimantan Utara,2020,6,1,2
Teknik Elektro,Lebak,Banten,2020,6,1,2
Teknik Mesin,Tenggarong,Kalimantan Timur,2020,6,1,2
Teknik Mesin,Mempawah,Kalimantan Barat,2020,6,1,2
Teknik Mesin,Bintan,Kepulauan Riau,2020,6,1,2
Teknik Mesin,Krui,Lampung,2020,6,1,2
Teknik Mesin,Bontang,Kalimantan Timur,2020,6,1,2
Teknik Mesin,Maros,Sulawesi Selatan,2020,6,1,2
Teknik Mesin,Dompu,Nusa Tenggara Barat,2020,6,1,2
Teknik Mesin,Singkawang,Kalimantan Barat,2020,6,1,2
Teknik Mesin,Pangkalan Bun,Kalimantan Tengah,2020,6,1,2
Teknik Mesin,Donggala,Sulawesi Tengah,2020,6,1,2
Teknik Mesin,Praya,Nusa Tenggara Barat,2020,6,1,2
Teknik Mesin,Muara Teweh,Kalimantan Tengah,2020,6,1,2
Teknik Mesin,Bantul,DI Yogyakarta,2020,6,1,2
Teknik Mesin,Singaraja,Bali,2020,6,1,2
Teknik Sipil,Rantau,Kalimantan Selatan,2020,6,1,2
Teknik Sipil,Bima,Nusa Tenggara Barat,2020,6,1,2
Teknik Sipil,Arga Makmur,Bengkulu,2020,6,1,2
Teknik Sipil,Kuala Kurun,Kalimantan Tengah,2020,6,1,2
Teknik Sipil,Bitung,Sulawesi Utara,2020,6,1,2
Teknik Sipil,Nunukan,Kalimantan Utara,2020,6,1,2
Teknik Sipil,Bagansiapiapi,Riau,2020,6,1,2
Teknik Sipil,Tidore,Maluku Utara,2020,6,1,2
Teknik Sipil,Ende,Nusa Tenggara Timur,2020,6,1,2
Teknik Sipil,Curup,Bengkulu,2020,6,1,2
Teknik Sipil,Wonosari,DI Yogyakarta,2020,6,1,2
Teknik Sipil,Dompu,Nusa Tenggara Barat,2020,6,1,2
Teknik Sipil,Maumere,Nusa Tenggara Timur,2020,6,1,2
Teknik Sipil,Tomohon,Sulawesi Utara,2020,6,1,2
Teknik Sipil,Lubuklinggau,Sumatera Selatan,2020,6,1,2
Teknik Sipil,Kota Baru,Jambi,2020,6,1,2
Teknik Sipil,Tabanan,Bali,2020,6,1,2
Teknik Sipil,Banda Aceh,Aceh,2020,6,1,2
Teknik Sipil,Singkawang,Kalimantan Barat,2020,6,1,2
Teknik Sipil,Muara Bulian,Jambi,2020,6,1,2
Teknik Sipil,Tolitoli,Sulawesi Tengah,2020,6,1,2
Ekonomi,Maros,Sulawesi Selatan,2020,6,1,1
Ekonomi,Kayu Agung,Sumatera Selatan,2020,6,1,1
Ekonomi,Kotamobagu,Sulawesi Utara,2020,6,1,1
Ekonomi,Sukabumi,Jawa Barat,2020,6,1,1
Ekonomi,Yogyakarta,DI Yogyakarta,2020,6,1,1
Ekonomi,Nunukan,Kalimantan Utara,2020,6,1,1
Ekonomi,Wonosari,DI Yogyakarta,2020,6,1,1
Ekonomi,Merauke,Papua,2020,6,1,1
Ekonomi,Sangatta,Kalimantan Timur,2020,6,1,1
Ekonomi,Poso,Sulawesi Tengah,2020,6,1,1
Ekonomi,Blitar,Jawa Timur,2020,6,1,1
Ekonomi,Cirebon,Jawa Barat,2020,6,1,1
Ekonomi,Banjarbaru,Kalimantan Selatan,2020,6,1,1
Ekonomi,Dabo Singkep,Kepulauan Riau,2020,6,1,1
Ekonomi,Raja Ampat,Papua Barat,2020,6,1,1
Ekonomi,Fakfak,Papua Barat,2020,6,1,1
Ekonomi,Pagar Alam,Sumatera Selatan,2020,6,1,1
Ekonomi,Malang,Jawa Timur,2020,6,1,1
Ekonomi,Tangerang,Banten,2020,6,1,1
Ekonomi,Dompu,Nusa Tenggara Barat,2020,6,1,1
Ekonomi,Balikpapan,Kalimantan Timur,2020,6,1,1
Ekonomi,Singkawang,Kalimantan Barat,2020,6,1,1
Ekonomi,Parepare,Sulawesi Selatan,2020,6,1,1
Ekonomi,Marisa,Gorontalo,2020,6,1,1
Ekonomi,Sawahlunto,Sumatera Barat,2020,6,1,1
Ekonomi,Singaraja,Bali,2020,6,1,1
Ekonomi,Krui,Lampung,2020,6,1,1
Ekonomi,Maumere,Nusa Tenggara Timur,2020,6,1,1
Ekonomi,Solo,Jawa Tengah,2020,6,1,1
Ekonomi,Bogor,Jawa Barat,2020,6,1,1
Ekonomi,Banda Aceh,Aceh,2020,6,1,1
Ekonomi,Bagansiapiapi,Riau,2020,6,1,1
Ekonomi,Polewali,Sulawesi Barat,2020,6,1,1
Ekonomi,Batam,Kepulauan Riau,2020,6,1,1
Ekonomi,Takengon,Aceh,2020,6,1,1
Ekonomi,Ketapang,Kalimantan Barat,2020,6,1,1
Ekonomi,Klungkung,Bali,2020,6,1,1
Ekonomi,Sekayu,Sumatera Selatan,2020,6,1,1
Ekonomi,Bitung,Sulawesi Utara,2020,6,1,1
Ekonomi,Binjai,Sumatera Utara,2020,6,1,1
Ekonomi,Limboto,Gorontalo,2020,6,1,1
Ekonomi,Sumbawa,Nusa Tenggara Barat,2020,6,1,1
Ekonomi,Raha,Sulawesi Tenggara,2020,6,1,1
Ekonomi,Pontianak,Kalimantan Barat,2020,6,1,1
Ekonomi,Kolaka,Sulawesi Tenggara,2020,6,1,1
Ekonomi,Palopo,Sulawesi Selatan,2020,6,1,1
Ekonomi,Bangko,Jambi,2020,6,1,1
Ekonomi,Sleman,DI Yogyakarta,2020,6,1,1
Ekonomi,Liwa,Lampung,2020,6,1,1
Ekonomi,Donggala,Sulawesi Tengah,2020,6,1,1
Ekonomi,Mempawah,Kalimantan Barat,2020,6,1,1
Ekonomi,Padang Panjang,Sumatera Barat,2020,6,1,1
Ekonomi,Bukittinggi,Sumatera Barat,2020,6,1,1
Ekonomi,Manna,Bengkulu,2020,6,1,1
Ekonomi,Baubau,Sulawesi Tenggara,2020,6,1,1
Ekonomi,Payakumbuh,Sumatera Barat,2020,6,1,1
Ekonomi,Atambua,Nusa Tenggara Timur,2020,6,1,1
Ekonomi,Pangkalan Bun,Kalimantan Tengah,2020,6,1,1
Ekonomi,Jakarta Selatan,DKI Jakarta,2020,6,1,1
Fisika,Limboto,Gorontalo,2020,6,1,1
Fisika,Bekasi,Jawa Barat,2020,6,1,1
Fisika,Sorong,Papua Barat,2020,6,1,1
Fisika,Tomohon,Sulawesi Utara,2020,6,1,1
Fisika,Pontianak,Kalimantan Barat,2020,6,1,1
Fisika,Cirebon,Jawa Barat,2020,6,1,1
Fisika,Tabanan,Bali,2020,6,1,1
Fisika,Singaraja,Bali,2020,6,1,1
Fisika,Praya,Nusa Tenggara Barat,2020,6,1,1
Fisika,Koba,Kepulauan Bangka Belitung,2020,6,1,1
Fisika,Kuala Kurun,Kalimantan Tengah,2020,6,1,1
Fisika,Masohi,Maluku,2020,6,1,1
Fisika,Ende,Nusa Tenggara Timur,2020,6,1,1
Fisika,Langsa,Aceh,2020,6,1,1
Fisika,Kaur,Bengkulu,2020,6,1,1
Fisika,Saumlaki,Maluku,2020,6,1,1
Fisika,Solo,Jawa Tengah,2020,6,1,1
Fisika,Banggai,Sulawesi Tengah,2020,6,1,1
Fisika,Subulussalam,Aceh,2020,6,1,1
Fisika,Krui,Lampung,2020,6,1,1
Fisika,Banjarbaru,Kalimantan Selatan,2020,6,1,1
Fisika,Sangatta,Kalimantan Timur,2020,6,1,1
Fisika,Nabire,Papua,2020,6,1,1
Fisika,Muara Sabak,Jambi,2020,6,1,1
Fisika,Rantau,Kalimantan Selatan,2020,6,1,1
Fisika,Palopo,Sulawesi Selatan,2020,6,1,1
Fisika,Muara Bulian,Jambi,2020,6,1,1
Fisika,Padang Panjang,Sumatera Barat,2020,6,1,1
Fisika,Majene,Sulawesi Barat,2020,6,1,1
Fisika,Bangkinang,Riau,2020,6,1,1
Fisika,Tilamuta,Gorontalo,2020,6,1,1
Fisika,Prabumulih,Sumatera Selatan,2020,6,1,1
Fisika,Tenggarong,Kalimantan Timur,2020,6,1,1
Fisika,Sawahlunto,Sumatera Barat,2020,6,1,1
Fisika,Padang Sidempuan,Sumatera Utara,2020,6,1,1
Fisika,Depok,Jawa Barat,2020,6,1,1
Fisika,Kandangan,Kalimantan Selatan,2020,6,1,1
Fisika,Metro,Lampung,2020,6,1,1
Fisika,Banda Aceh,Aceh,2020,6,1,1
Fisika,Medan,Sumatera Utara,2020,6,1,1
Fisika,Tanjung Balai Karimun,Kepulauan Riau,2020,6,1,1
Fisika,Bireuen,Aceh,2020,6,1,1
Fisika,Parepare,Sulawesi Selatan,2020,6,1,1
Fisika,Bintan,Kepulauan Riau,2020,6,1,1
Fisika,Toboali,Kepulauan Bangka Belitung,2020,6,1,1
Ilmu Komunikasi,Sambas,Kalimantan Barat,2020,6,1,1
Ilmu Komunikasi,Kandangan,Kalimantan Selatan,2020,6,1,1
Ilmu Komunikasi,Bukittinggi,Sumatera Barat,2020,6,1,1
Ilmu Komunikasi,Kotamobagu,Sulawesi Utara,2020,6,1,1
Ilmu Komunikasi,Magelang,Jawa Tengah,2020,6,1,1
Ilmu Komunikasi,Lubuklinggau,Sumatera Selatan,2020,6,1,1
Ilmu Komunikasi,Bangko,Jambi,2020,6,1,1
Ilmu Komunikasi,Kendari,Sulawesi Tenggara,2020,6,1,1
Ilmu Komunikasi,Raja Ampat,Papua Barat,2020,6,1,1
Ilmu Komunikasi,Tolitoli,Sulawesi Tengah,2020,6,1,1
Ilmu Komunikasi,Semarang,Jawa Tengah,2020,6,1,1
Ilmu Komunikasi,Samarinda,Kalimantan Timur,2020,6,1,1
Ilmu Komunikasi,Maros,Sulawesi Selatan,2020,6,1,1
Ilmu Komunikasi,Muara Sabak,Jambi,2020,6,1,1
Ilmu Komunikasi,Depok,Jawa Barat,2020,6,1,1
Ilmu Komunikasi,Bintan,Kepulauan Riau,2020,6,1,1
Ilmu Komunikasi,Ternate,Maluku Utara,2020,6,1,1
Ilmu Komunikasi,Raha,Sulawesi Tenggara,2020,6,1,1
Ilmu Komunikasi,Polewali,Sulawesi Barat,2020,6,1,1
Ilmu Komunikasi,Balikpapan,Kalimantan Timur,2020,6,1,1
Ilmu Komunikasi,Curup,Bengkulu,2020,6,1,1
Ilmu Komunikasi,Koba,Kepulauan Bangka Belitung,2020,6,1,1
Ilmu Komunikasi,Merauke,Papua,2020,6,1,1
Ilmu Komunikasi,Kuala Kurun,Kalimantan Tengah,2020,6,1,1
Ilmu Komunikasi,Liwa,Lampung,2020,6,1,1
Ilmu Komunikasi,Gunung Sitoli,Sumatera Utara,2020,6,1,1
Ilmu Komunikasi,Prabumulih,Sumatera Selatan,2020,6,1,1
Ilmu Komunikasi,Praya,Nusa Tenggara Barat,2020,6,1,1
Ilmu Komunikasi,Kota Baru,Jambi,2020,6,1,1
Ilmu Komunikasi,Jakarta Utara,DKI Jakarta,2020,6,1,1
Ilmu Komunikasi,Kaur,Bengkulu,2020,6,1,1
Ilmu Komunikasi,Tual,Maluku,2020,6,1,1
Ilmu Komunikasi,Sleman,DI Yogyakarta,2020,6,1,1
Ilmu Komunikasi,Tabanan,Bali,2020,6,1,1
Ilmu Komunikasi,Padang Panjang,Sumatera Barat,2020,6,1,1
Ilmu Komunikasi,Tomohon,Sulawesi Utara,2020,6,1,1
Ilmu Komunikasi,Bangkinang,Riau,2020,6,1,1
Ilmu Komunikasi,Nunukan,Kalimantan Utara,2020,6,1,1
Ilmu Komunikasi,Cirebon,Jawa Barat,2020,6,1,1
Ilmu Komunikasi,Sampit,Kalimantan Tengah,2020,6,1,1
Ilmu Komunikasi,Muara Bulian,Jambi,2020,6,1,1
Ilmu Komunikasi,Baubau,Sulawesi Tenggara,2020,6,1,1
Ilmu Komunikasi,Sumbawa,Nusa Tenggara Barat,2020,6,1,1
Ilmu Komunikasi,Malinau,Kalimantan Utara,2020,6,1,1
Ilmu Komunikasi,Tebing Tinggi,Sumatera Utara,2020,6,1,1
Ilmu Komunikasi,Jakarta Selatan,DKI Jakarta,2020,6,1,1
Ilmu Komunikasi,Marabahan,Kalimantan Selatan,2020,6,1,1
Ilmu Komunikasi,Kolaka,Sulawesi Tenggara,2020,6,1,1
Ilmu Komunikasi,Batu,Jawa Timur,2020,6,1,1
Ilmu Komunikasi,Sungailiat,Kepulauan Bangka Belitung,2020,6,1,1
Ilmu Komunikasi,Ketapang,Kalimantan Barat,2020,6,1,1
Ilmu Komunikasi,Bontang,Kalimantan Timur,2020,6,1,1
Ilmu Komunikasi,Binjai,Sumatera Utara,2020,6,1,1
Kedokteran Umum,Banggai,Sulawesi Tengah,2020,6,1,1
Kedokteran Umum,Bogor,Jawa Barat,2020,6,1,1
Kedokteran Umum,Metro,Lampung,2020,6,1,1
Kedokteran Umum,Majene,Sulawesi Barat,2020,6,1,1
Kedokteran Umum,Sleman,DI Yogyakarta,2020,6,1,1
Kedokteran Umum,Klungkung,Bali,2020,6,1,1
Kedokteran Umum,Padang Panjang,Sumatera Barat,2020,6,1,1
Kedokteran Umum,Kotamobagu,Sulawesi Utara,2020,6,1,1
Kedokteran Umum,Pagar Alam,Sumatera Selatan,2020,6,1,1
Kedokteran Umum,Tilamuta,Gorontalo,2020,6,1,1
Kedokteran Umum,Jakarta Pusat,DKI Jakarta,2020,6,1,1
Kedokteran Umum,Jakarta Selatan,DKI Jakarta,2020,6,1,1
Kedokteran Umum,Palopo,Sulawesi Selatan,2020,6,1,1
Kedokteran Umum,Binjai,Sumatera Utara,2020,6,1,1
Kedokteran Umum,Donggala,Sulawesi Tengah,2020,6,1,1
Kedokteran Umum,Kediri,Jawa Timur,2020,6,1,1
Kedokteran Umum,Sabang,Aceh,2020,6,1,1
Kedokteran Umum,Subulussalam,Aceh,2020,6,1,1
Kedokteran Umum,Sumbawa,Nusa Tenggara Barat,2020,6,1,1
Kedokteran Umum,Sambas,Kalimantan Barat,2020,6,1,1
Kedokteran Umum,Muntok,Kepulauan Bangka Belitung,2020,6,1,1
Kedokteran Umum,Batu,Jawa Timur,2020,6,1,1
Kedokteran Umum,Cimahi,Jawa Barat,2020,6,1,1
Kedokteran Umum,Tanjung Balai Karimun,Kepulauan Riau,2020,6,1,1
Kedokteran Umum,Banjarmasin,Kalimantan Selatan,2020,6,1,1
Kedokteran Umum,Baubau,Sulawesi Tenggara,2020,6,1,1
Kedokteran Umum,Bireuen,Aceh,2020,6,1,1
Kedokteran Umum,Kaur,Bengkulu,2020,6,1,1
Kedokteran Umum,Ketapang,Kalimantan Barat,2020,6,1,1
Kedokteran Umum,Fakfak,Papua Barat,2020,6,1,1
Kedokteran Umum,Tasikmalaya,Jawa Barat,2020,6,1,1
Kedokteran Umum,Limboto,Gorontalo,2020,6,1,1
Kedokteran Umum,Merauke,Papua,2020,6,1,1
Kedokteran Umum,Krui,Lampung,2020,6,1,1
Kedokteran Umum,Muara Tebo,Jambi,2020,6,1,1
Kedokteran Umum,Lhokseumawe,Aceh,2020,6,1,1
Kedokteran Umum,Sampit,Kalimantan Tengah,2020,6,1,1
